id,estado,municipio,cod_inegi_municipio,localidad,cod_inegi_localidad
189,BAJA CALIFORNIA,ENSENADA,002001,,
190,BAJA CALIFORNIA,ENSENADA,002001,,
191,BAJA CALIFORNIA,ENSENADA,002001,,
192,BAJA CALIFORNIA,ENSENADA,002001,,
193,BAJA CALIFORNIA,ENSENADA,002001,,
194,BAJA CALIFORNIA,ENSENADA,002001,,
195,BAJA CALIFORNIA,ENSENADA,002001,,
196,BAJA CALIFORNIA,ENSENADA,002001,,
197,BAJA CALIFORNIA,ENSENADA,002001,,
198,BAJA CALIFORNIA,ENSENADA,002001,,
199,BAJA CALIFORNIA,ENSENADA,002001,,
200,BAJA CALIFORNIA,ENSENADA,002001,,
201,BAJA CALIFORNIA,ENSENADA,002001,,
202,BAJA CALIFORNIA,ENSENADA,002001,,
203,BAJA CALIFORNIA,ENSENADA,002001,,
204,BAJA CALIFORNIA,ENSENADA,002001,,
205,BAJA CALIFORNIA,ENSENADA,002001,,
206,BAJA CALIFORNIA,ENSENADA,002001,,
207,BAJA CALIFORNIA,ENSENADA,002001,,
208,BAJA CALIFORNIA,ENSENADA,002001,,
209,BAJA CALIFORNIA,ENSENADA,002001,,
210,BAJA CALIFORNIA,ENSENADA,002001,,
211,BAJA CALIFORNIA,ENSENADA,002001,,
212,BAJA CALIFORNIA,ENSENADA,002001,,
213,BAJA CALIFORNIA,ENSENADA,002001,,
214,BAJA CALIFORNIA,ENSENADA,002001,,
215,BAJA CALIFORNIA,ENSENADA,002001,,
216,BAJA CALIFORNIA,ENSENADA,002001,,
217,BAJA CALIFORNIA,ENSENADA,002001,,
218,BAJA CALIFORNIA,ENSENADA,002001,,
219,BAJA CALIFORNIA,ENSENADA,002001,,
220,BAJA CALIFORNIA,ENSENADA,002001,,
221,BAJA CALIFORNIA,ENSENADA,002001,,
222,BAJA CALIFORNIA,ENSENADA,002001,,
223,BAJA CALIFORNIA,ENSENADA,002001,,
224,BAJA CALIFORNIA,ENSENADA,002001,,
225,BAJA CALIFORNIA,ENSENADA,002001,,
226,BAJA CALIFORNIA,ENSENADA,002001,,
227,BAJA CALIFORNIA,ENSENADA,002001,,
228,BAJA CALIFORNIA,ENSENADA,002001,,
229,BAJA CALIFORNIA,ENSENADA,002001,,
230,BAJA CALIFORNIA,ENSENADA,002001,,
231,BAJA CALIFORNIA,ENSENADA,002001,,
