estado,municipio,cod_inegi_municipio,localidad,cod_inegi_localidad
BAJA CALIFORNIA_x000D_ SUR,COMONDU,,PUERTO ADOLFO LOPEZ MATEOS,
BAJA CALIFORNIA_x000D_ SUR,COMONDU,,PUERTO ALCATRAZ,
BAJA CALIFORNIA_x000D_ SUR,COMONDU,,PUERTO ALCATRAZ (ISLA SANTA MARGARITA),
BAJA CALIFORNIA_x000D_ SUR,COMONDU,,PUERTO MAGDALENA (BAHIA MAGDALENA),
BAJA CALIFORNIA_x000D_ SUR,COMONDU,,PUERTO SAN CARLOS,
BAJA CALIFORNIA_x000D_ SUR,COMONDU,,RAMADITAS,
BAJA CALIFORNIA_x000D_ SUR,COMONDU,,SAN BUTO,
BAJA CALIFORNIA_x000D_ SUR,COMONDU,,SAN JUANICO,
BAJA CALIFORNIA_x000D_ SUR,COMONDU,,SANTA RITA,
BAJA CALIFORNIA_x000D_ SUR,COMONDU,,SANTO DOMINGO (VALLE SANTO DOMINGO),
BAJA CALIFORNIA_x000D_ SUR,COMONDU,,SANTO DOMINGO VIEJO,
BAJA CALIFORNIA_x000D_ SUR,COMONDU,,VILLA MORELOS,
BAJA CALIFORNIA_x000D_ SUR,LA PAZ,,A DONDE,
BAJA CALIFORNIA_x000D_ SUR,LA PAZ,,AGUA AMARGA,
BAJA CALIFORNIA_x000D_ SUR,LA PAZ,,CENTENARIO,
BAJA CALIFORNIA_x000D_ SUR,LA PAZ,,EL CENTENARIO,
BAJA CALIFORNIA_x000D_ SUR,LA PAZ,,EL PARDITO,
BAJA CALIFORNIA_x000D_ SUR,LA PAZ,,EL PARTIDO,
BAJA CALIFORNIA_x000D_ SUR,LA PAZ,,GUADALUPE,
BAJA CALIFORNIA_x000D_ SUR,LA PAZ,,LA PAZ,
BAJA CALIFORNIA_x000D_ SUR,LA PAZ,,PARDITO,
BAJA CALIFORNIA_x000D_ SUR,LA PAZ,,PUEBLO NUEVO,
BAJA CALIFORNIA_x000D_ SUR,LA PAZ,,PUERTO CHALE,
BAJA CALIFORNIA_x000D_ SUR,LA PAZ,,PUNTA DE LOBOS,
BAJA CALIFORNIA_x000D_ SUR,LA PAZ,,SAN EVARISTO,
BAJA CALIFORNIA_x000D_ SUR,LA PAZ,,TODOS SANTOS,
BAJA CALIFORNIA_x000D_ SUR,LORETO,,AGUA VERDE,
BAJA CALIFORNIA_x000D_ SUR,LORETO,,ENSENADA BLANCA,
BAJA CALIFORNIA_x000D_ SUR,LORETO,,JUNCALITO,
BAJA CALIFORNIA_x000D_ SUR,LORETO,,LORETO,
BAJA CALIFORNIA_x000D_ SUR,LORETO,,TIMBABICHI,
BAJA CALIFORNIA_x000D_ SUR,LOS CABOS,,CABO SAN LUCAS,
BAJA CALIFORNIA_x000D_ SUR,LOS CABOS,,EL ZACATAL,
BAJA CALIFORNIA_x000D_ SUR,LOS CABOS,,LA RIBERA,
BAJA CALIFORNIA_x000D_ SUR,LOS CABOS,,SAN JOSE DEL CABO,
BAJA CALIFORNIA_x000D_ SUR,LOS CABOS,,SAN JOSE VIEJO,
BAJA CALIFORNIA_x000D_ SUR,MULEGE,,BAHIA ASUNCION,
BAJA CALIFORNIA_x000D_ SUR,MULEGE,,BAHIA TORTUGAS,
BAJA CALIFORNIA_x000D_ SUR,MULEGE,,BAHIA TORTUGAS (SAN BARTOLOME),
BAJA CALIFORNIA_x000D_ SUR,MULEGE,,CAMPO DELGADITO,
BAJA CALIFORNIA_x000D_ SUR,MULEGE,,EL DATIL,
BAJA CALIFORNIA_x000D_ SUR,MULEGE,,ESTERO DE LA BOCANA,
BAJA CALIFORNIA_x000D_ SUR,MULEGE,,GUERRERO NEGRO,
BAJA CALIFORNIA_x000D_ SUR,MULEGE,,LA BOCANA,
BAJA CALIFORNIA_x000D_ SUR,MULEGE,,NATIVIDAD,
BAJA CALIFORNIA_x000D_ SUR,MULEGE,,PUNTA ABREOJOS,
BAJA CALIFORNIA_x000D_ SUR,MULEGE,,SAN IGNACIO,
CAMPECHE,#SIN REGISTRO,,#SIN REGISTRO,
CAMPECHE,CABORCA,,HEROICA CABORCA,
CAMPECHE,CALKINÍ,,ISLA ARENA (PUNTA ARENA),
CAMPECHE,CALKINÍ,,TANKUCHÉ,
CAMPECHE,CHAMPOTÓN,,CHAMPOTÓN,
CAMPECHE,CHAMPOTÓN,,CIUDAD DEL SOL,
CAMPECHE,CHAMPOTÓN,,EL PORVENIR,
CAMPECHE,CHAMPOTÓN,,LA JOYA,
CAMPECHE,CHAMPOTÓN,,LA NORIA,
CAMPECHE,CHAMPOTÓN,,PLAYA LA GUADALUPE,
CAMPECHE,CHAMPOTÓN,,SAN FRANCISCO,
CAMPECHE,CHAMPOTÓN,,SAN ISIDRO,
CAMPECHE,CHAMPOTÓN,,SEYBAPLAYA,
CAMPECHE,CHAMPOTÓN,,VILLA MADERO,
CAMPECHE,CHAMPOTÓN,,VILLAMAR,
CAMPECHE,Calkiní,,Isla Arena,
CAMPECHE,Calkiní,,Santa Cruz Pueblo,
CAMPECHE,Calkiní,,Tankuché,
CAMPECHE,Champotón,,Champotón,
CAMPECHE,Champotón,,Ciudad del Sol,
CAMPECHE,Champotón,,El Paraíso,
CAMPECHE,Champotón,,El Porvenir,
CAMPECHE,Champotón,,La Joya,
CAMPECHE,Champotón,,La Noria,
CAMPECHE,Champotón,,Moquel,
CAMPECHE,Champotón,,Seybaplaya,
CAMPECHE,Champotón,,Villa Madero,
CAMPECHE,HALACHO,,SIHO,
CAMPECHE,HALACHÓ,,SIHÓ,
CAMPECHE,LERMA,,LERMA,
CAMPECHE,NO DISPONIBLE,,NO DISPONIBLE,
CAMPECHE,OCOSINGO,,OCOSINGO,
CAMPECHE,SEYBAPLAYA,,SAYBAPLAYA,
CAMPECHE,SEYBAPLAYA,,SEYBAPLAYA,
CAMPECHE ,CALKINÍ,,CALKINÍ,
CAMPECHE ,CALKINÍ,,ISLA ARENA (PUNTA ARENA),
CAMPECHE ,CALKINÍ,,TANKUCHÉ,
CAMPECHE ,CAMPECHE,,CAMPECHE,
CAMPECHE ,CAMPECHE,,LERMA,
CAMPECHE ,CAMPECHE,,LOCALIDAD SIN NOMBRE,
CAMPECHE ,CAMPECHE,,SAN FRANCISCO,
CAMPECHE ,CARMEN,,ATASTA,
CAMPECHE ,CARMEN,,CANDELARIA,
CAMPECHE ,CARMEN,,CIUDAD DEL CARMEN,
CAMPECHE ,CARMEN,,EMILIANO ZAPATA,
CAMPECHE ,CARMEN,,ISLA AGUADA,
CAMPECHE ,CARMEN,,JIMBAL,
CAMPECHE ,CARMEN,,NUEVO CAMPECHITO,
CAMPECHE ,CARMEN,,NUEVO PROGRESO,
CAMPECHE ,CARMEN,,PUERTO REAL,
CAMPECHE ,CARMEN,,SABANCUY,
CAMPECHE ,CARMEN,,SAN ANTONIO CÁRDENAS,
CAMPECHE ,CHAMPOTÓN,,CHAMPOTÓN,
CAMPECHE ,CHAMPOTÓN,,CIUDAD DEL SOL,
CAMPECHE ,CHAMPOTÓN,,LA JOYA,
CAMPECHE ,CHAMPOTÓN,,SANTA CLARA,
CAMPECHE ,CHAMPOTÓN,,SEYBAPLAYA,
CAMPECHE ,CHAMPOTÓN,,VILLA MADERO,
CAMPECHE ,CHAMPOTÓN,,XKEULIL,
CHIAPAS,#SIN REGISTRO,,#SIN REGISTRO,
CHIAPAS,CATAZAJÁ,,CATAZAJÁ,
CHIAPAS,CATAZAJÁ,,CUYO (ÁLVARO OBREGÓN),
CHIAPAS,CATAZAJÁ,,EL PAJONAL,
CHIAPAS,CATAZAJÁ,,EL REMOLINO 1A. SECCIÓN,
CHIAPAS,CATAZAJÁ,,EL TINTO BONSHÁN,
CHIAPAS,CATAZAJÁ,,GUADALUPE DEL CARMEN,
CHIAPAS,CATAZAJÁ,,PUNTA ARENA,
CHIAPAS,Catazajá,,Catazajá,
CHIAPAS,Catazajá,,El Pajonal,
CHIAPAS,Catazajá,,El Remolino 1ra. Sección,
CHIAPAS,Catazajá,,El Tinto Bonshán,
CHIAPAS,Catazajá,,Punta Arena,
CHIAPAS,EL PARRAL,,JERICO,
CHIAPAS,JONUTA,,LA GUAYABA (ALTO AMATITAN),
CHIAPAS,MAZATÁN,,SAN JOSÉ EL HUAYATE (BARRA DE SAN JOSÉ),
CHIAPAS,Mazatán,,Mazatán,
CHIAPAS,Mazatán,,San José,
CHIAPAS,NO DISPONIBLE,,NO DISPONIBLE,
CHIAPAS,OCOZOCOAUTLA DE ESPINOZA,,APIC-PAC,
CHIAPAS,OCOZOCOAUTLA DE ESPINOZA,,EMBARCADERO APIC PAC,
CHIAPAS,OCOZOCOAUTLA DE ESPINOZA,,GUADALUPE VICTORIA,
CHIAPAS,TEPACHULA,,PUERTO  MADERO,
CHIAPAS,TONALÁ,,BOCA DEL CIELO,
CHIAPAS,TONALÁ,,CABEZA DE TORO,
CHIAPAS,TONALÁ,,EL VERGEL (MANUEL VELASCO SUÁREZ),
CHIAPAS,TONALÁ,,HUIZACHAL,
CHIAPAS,TONALÁ,,MANUEL ÁVILA CAMACHO (PONTE DURO),
CHIAPAS,TONALÁ,,PAREDÓN,
CHIAPAS,TONALÁ,,PUEBLO NUEVO (SAN CAYETANO),
CHIAPAS,TONALÁ,,TONALÁ,
CHIAPAS,Tonalá,,Boca del Cielo,
CHIAPAS,Tonalá,,Cabeza de Toro,
CHIAPAS,Tonalá,,Doctor Belisario Domínguez (La Barra),
CHIAPAS,Tonalá,,El Vergel,
CHIAPAS,Tonalá,,Manuel Ávila Camacho (Ponte Duro),
CHIAPAS,Tonalá,,Paredón,
CHIAPAS,Tonalá,,Pueblo Nuevo (San Cayetano),
CHIAPAS,Tonalá,,Tonalá,
CHIAPAS,VILLACOMALTITLAN,,RIO ARRIBA SALVACION,
CHIAPAS,VILLACORZO,,EJIDO LA NUEVA UNION,
CHIAPAS,VILLACORZO,,EJIDO MONTERREY,
CHIAPAS,VILLACORZO,,EJIDO VALLE MORELOS,
CHIAPAS,VILLACORZO,,FINCA EL CAIRO,
CHIAPAS,VILLACORZO,,LA PAZ,
CHIAPAS,VILLACORZO,,MANUEL AVILA CAMACHO,
CHIAPAS,VILLACORZO,,RANCHERIA SANTIAGO,
CHIAPAS,VILLACORZO,,RANCHO LA SOMBRA,
COAHUILA,ACUÑA,,ACUÑA,
COAHUILA,ACUÑA,,CAÑON DE LA ZORRA,
COAHUILA,ACUÑA,,CIUDAD ACUÃ‘A,
COAHUILA,ACUÑA,,CIUDAD ACUÑA,
COAHUILA,ACUÑA,,EJIDO LAS CUEVAS,
COAHUILA,ACUÑA,,PLAYA TLALOC,
COAHUILA,ARTEAGA,,ARTEAGA,
COAHUILA,ARTEAGA,,EL NOGAL,
COAHUILA,ARTEAGA,,VERACRUZ,
COAHUILA,CUATRO CIENEGAS,,CUATRO CIENEGAS DE CARRANZA [ESTACION],
COAHUILA,GENERAL CEPEDA,,GENERAL CEPEDA,
COAHUILA,GENERAL CEPEDA,,JALPA,
COAHUILA,JIMENEZ,,LA POTASA,
COAHUILA,JIMENEZ,,LA POTASA (LA MOTA),
COAHUILA,JUAREZ,,CLUB DE CAZA TIRO Y PESCA DON MARTIN,
COAHUILA,JUAREZ,,"CLUB DE CAZA TIRO Y PESCA DON_x000D__x000D_
MARTIN",
COAHUILA,JUAREZ,,DON MARTIN,
COAHUILA,JUAREZ,,JUAREZ,
COAHUILA,MATAMOROS,,BENITO JUAREZ,
COAHUILA,MONCLOVA,,MONCLOVA,
COAHUILA,NAVA,,EJIDO MOTA DE ALEJO,
COAHUILA,NAVA,,MOTA DE ALEJO (LOS BERMEA),
COAHUILA,PARRAS,,CERRO COLORADO,
COAHUILA,PARRAS,,EL MESTEÃ‘O,
COAHUILA,PIEDRAS NEGRAS,,EJIDO EL MORAL,
COAHUILA,PIEDRAS NEGRAS,,PIEDRAS NEGRAS,
COAHUILA,PROGRESO,,MEXIQUITO,
COAHUILA,SALTILLO,,DERRAMADERO [GRANJA],
COAHUILA,SALTILLO,,EL DERRAMADERO,
COAHUILA,SALTILLO,,SALTILLO,
COAHUILA,SAN BUENAVENTURA,,LAS PALMAS,
COAHUILA,SAN JUAN DE SABINAS,,NUEVA ROSITA,
COAHUILA,SAN JUAN DE SABINAS,,SAN JUAN DE SABINA,
COAHUILA,SAN JUAN DE SABINAS,,SAN JUAN DE SABINAS,
COAHUILA,TORREON,,TORREON,
COAHUILA,ZARAGOZA,,EL CAPRICHO,
COAHUILA,ZARAGOZA,,ZARAGOZA [CENTRO DE INVESTIGACION AGRICOLA],
COLIMA,#SIN REGISTRO,,#SIN REGISTRO,
COLIMA,ARMERÍA,,ARMERÍA,
COLIMA,ARMERÍA,,EL PARAÍSO (BALNEARIO),
COLIMA,Armería,,Ciudad de Armería,
COLIMA,Armería,,El Paraíso [Balneario],
COLIMA,NO DISPONIBLE,,NO DISPONIBLE,
COLIMA,Tecomán,,Tecomán,
COLIMA ,ARMERÍA,,EL PARAÍSO (BALNEARIO),
COLIMA ,MANZANILLO,,EL COLOMO,
COLIMA ,MANZANILLO,,MANZANILLO,
DISTRITO FEDERAL,ALVARO OBREGON,,ALVARO OBREGON,
DISTRITO FEDERAL,AZCAPOTZALCO,,AZCAPOTZALCO,
DISTRITO FEDERAL,BENITO JUAREZ,,BENITO JUAREZ,
DISTRITO FEDERAL,BENITO JUÁREZ,,BENITO JUÁREZ,
DISTRITO FEDERAL,COYOACAN,,COYOACAN,
DISTRITO FEDERAL,CUAJIMALPA DE MORELOS,,CUAJIMALPA DE MORELOS,
DISTRITO FEDERAL,CUAUHTEMOC,,CUAUHTEMOC,
DISTRITO FEDERAL,CUAUHTÉMOC,,CUAUHTÉMOC,
DISTRITO FEDERAL,GUSTAVO A. MADERO,,GUSTAVO A. MADERO,
DISTRITO FEDERAL,IZTACALCO,,IZTACALCO,
DISTRITO FEDERAL,IZTAPALAPA,,IZTAPALAPA,
DISTRITO FEDERAL,LA MAGDALENA CONTRERAS,,LA MAGDALENA CONTRERAS,
DISTRITO FEDERAL,LA MAGDALENA CONTRERAS,,SEGUNDO DINAMO,
DISTRITO FEDERAL,LA MAGDALENA CONTRERAS,,TERCER DINAMO,
DISTRITO FEDERAL,MIGUEL HIDALGO,,MIGUEL HIDALGO,
DISTRITO FEDERAL,MILPA ALTA,,AA MILPA ALTA,
DISTRITO FEDERAL,MILPA ALTA,,SAN AGUSTIN EL ALTO,
DISTRITO FEDERAL,MILPA ALTA,,SAN ANTONIO TECOMITL,
DISTRITO FEDERAL,MILPA ALTA,,SAN PEDRO ATOCPAN,
DISTRITO FEDERAL,MILPA ALTA,,SANTA ANA TLACOTENCO,
DISTRITO FEDERAL,MILPA ALTA,,VILLA MILPA ALTA,
DISTRITO FEDERAL,TLAHUAC,,PROLONGACION PEÃ‘A ALTA,
DISTRITO FEDERAL,TLAHUAC,,TLAHUAC,
DISTRITO FEDERAL,TLALPAN,,EL PEDREGAL,
DISTRITO FEDERAL,TLALPAN,,TLALPAN,
DISTRITO FEDERAL,VENUSTIANO CARRANZA,,VENUSTIANO CARRANZA,
DISTRITO FEDERAL,XOCHIMILCO,,AMPLIACION CHALMITA,
DISTRITO FEDERAL,XOCHIMILCO,,XOCHIMILCO,
DURANGO,PEÑON BLANCO,,GENERAL JESUS AGUSTIN CASTRO (INDEPENDENCIA),
DURANGO,PEÑON BLANCO,,PALO BLANCO (RANCHO LA JOYA),
DURANGO,PEÑON BLANCO,,PEÃ‘ON BLANCO,
ESTADO DE MEXICO,VILLA VICTORIA,,VILLA VICTORIA,
GUANAJUATO,ALLENDE,,CORRAL DE PIEDRAS DE ABAJO,
GUANAJUATO,ALLENDE,,EL PEDREGUDO,
GUANAJUATO,ALLENDE,,FLORES DE BEGOÑA,
GUANAJUATO,ALLENDE,,SAN MARCOS DE BEGOÑA,
GUANAJUATO,DOLORES HIDALGO,,SAN FRANCISCO DE LA ERRE,
GUANAJUATO,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA,,LA ERRE,
GUANAJUATO,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA,,SAN FRANCISCO DE LA ERRE (SAN FRANCISCO),
GUANAJUATO,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA,,SAN GABRIEL,
GUANAJUATO,LA PIEDAD,,LA PIEDAD DE CABADAS,
GUERRERO,ACAPULCO DE JUÁREZ,,ACAPULCO DE JUÁREZ,
GUERRERO,ACAPULCO DE JUÁREZ,,CANDELILLA (LAS PALMITAS),
GUERRERO,ACAPULCO DE JUÁREZ,,COLONIA CINCO DE MAYO PARTE ALTA,
GUERRERO,ACAPULCO DE JUÁREZ,,EL ARENAL,
GUERRERO,ACAPULCO DE JUÁREZ,,SAN PEDRO LAS PLAYAS,
GUERRERO,ACAPULCO DE JUÁREZ,,TRES PALOS,
GUERRERO,AJUCHITLAN,,SAN PEDRO Y GARZAS,
GUERRERO,ASOYU,,BARRA DE TECOANAPA,
GUERRERO,Acapulco de Juárez,,Acapulco de Juárez,
GUERRERO,Acapulco de Juárez,,Candelilla (Las Palmitas),
GUERRERO,Acapulco de Juárez,,Colonia Cinco de Mayo Parte Alta,
GUERRERO,Acapulco de Juárez,,El Arenal,
GUERRERO,Acapulco de Juárez,,San Pedro las Playas,
GUERRERO,Acapulco de Juárez,,Tres Palos,
GUERRERO,CAYUCA DE BENITEZ,,COL. VENUSTIANO CARRANZA,
GUERRERO,COAHUAYUTLA,,,
GUERRERO,COAHUAYUTLA,,,
GUERRERO,COAHUAYUTLA,,,
GUERRERO,COAHUAYUTLA,,,
