id,Componente,"Año",Estado,Municipio,Localidad,Registradas,Apoyadas,cod_inegi
133,MOTOR,2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","AMPLIACION EJIDO PLAN LIBERTADOR",1,0,
134,EMBARCACION,2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","AMPLIACION EJIDO PLAN LIBERTADOR",1,0,
135,HIELERA,2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","AMPLIACION EJIDO PLAN LIBERTADOR",1,0,
136,SISTEMA,2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","AMPLIACION EJIDO PLAN LIBERTADOR",0,0,
137,MOTOR,2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","EL MORRO",1,0,
138,EMBARCACION,2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","EL MORRO",0,0,
139,HIELERA,2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","EL MORRO",0,0,
140,SISTEMA,2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","EL MORRO",0,0,
141,MOTOR,2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","EL MORRO",2,0,
142,MOTOR,2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","PLAYAS LA MISION",1,0,
143,EMBARCACION,2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","PLAYAS LA MISION",0,0,
144,HIELERA,2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","PLAYAS LA MISION",0,0,
145,SISTEMA,2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","PLAYAS LA MISION",0,0,
146,MOTOR,2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO",POPOTLA,1,1,
147,EMBARCACION,2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO",POPOTLA,1,0,
148,HIELERA,2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO",POPOTLA,0,0,
149,SISTEMA,2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO",POPOTLA,0,0,
150,MOTOR,2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","PRIMO TAPIA",1,0,
151,EMBARCACION,2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","PRIMO TAPIA",0,0,
152,HIELERA,2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","PRIMO TAPIA",0,0,
153,SISTEMA,2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","PRIMO TAPIA",0,0,
154,MOTOR,2014,"BAJA CALIFORNIA",TIJUANA,TIJUANA,1,0,
155,EMBARCACION,2014,"BAJA CALIFORNIA",TIJUANA,TIJUANA,0,0,
156,HIELERA,2014,"BAJA CALIFORNIA",TIJUANA,TIJUANA,0,0,
157,SISTEMA,2014,"BAJA CALIFORNIA",TIJUANA,TIJUANA,0,0,
158,MOTOR,2014,"BAJA CALIFORNIA SUR",COMONDU,"CABO SAN LAZARO",0,0,
159,EMBARCACION,2014,"BAJA CALIFORNIA SUR",COMONDU,"CABO SAN LAZARO",0,0,
160,HIELERA,2014,"BAJA CALIFORNIA SUR",COMONDU,"CABO SAN LAZARO",1,0,
161,SISTEMA,2014,"BAJA CALIFORNIA SUR",COMONDU,"CABO SAN LAZARO",1,0,
162,MOTOR,2014,"BAJA CALIFORNIA SUR",COMONDU,CADEJE,1,1,
163,EMBARCACION,2014,"BAJA CALIFORNIA SUR",COMONDU,CADEJE,0,0,
164,HIELERA,2014,"BAJA CALIFORNIA SUR",COMONDU,CADEJE,0,0,
165,SISTEMA,2014,"BAJA CALIFORNIA SUR",COMONDU,CADEJE,0,0,
166,MOTOR,2014,"BAJA CALIFORNIA SUR",COMONDU,"CIUDAD CONSTITUCION",17,2,
167,EMBARCACION,2014,"BAJA CALIFORNIA SUR",COMONDU,"CIUDAD CONSTITUCION",6,1,
168,HIELERA,2014,"BAJA CALIFORNIA SUR",COMONDU,"CIUDAD CONSTITUCION",1,0,
169,SISTEMA,2014,"BAJA CALIFORNIA SUR",COMONDU,"CIUDAD CONSTITUCION",1,0,
170,MOTOR,2014,"BAJA CALIFORNIA SUR",COMONDU,"CIUDAD INSURGENTES",2,0,
171,EMBARCACION,2014,"BAJA CALIFORNIA SUR",COMONDU,"CIUDAD INSURGENTES",0,0,
172,HIELERA,2014,"BAJA CALIFORNIA SUR",COMONDU,"CIUDAD INSURGENTES",0,0,
173,SISTEMA,2014,"BAJA CALIFORNIA SUR",COMONDU,"CIUDAD INSURGENTES",0,0,
174,MOTOR,2014,"BAJA CALIFORNIA SUR",COMONDU,"EL CHICHARRON",1,0,
175,EMBARCACION,2014,"BAJA CALIFORNIA SUR",COMONDU,"EL CHICHARRON",0,0,
176,HIELERA,2014,"BAJA CALIFORNIA SUR",COMONDU,"EL CHICHARRON",0,0,
177,SISTEMA,2014,"BAJA CALIFORNIA SUR",COMONDU,"EL CHICHARRON",0,0,
178,MOTOR,2014,"BAJA CALIFORNIA SUR",COMONDU,"EL CORRALITO",1,0,
179,EMBARCACION,2014,"BAJA CALIFORNIA SUR",COMONDU,"EL CORRALITO",1,0,
180,HIELERA,2014,"BAJA CALIFORNIA SUR",COMONDU,"EL CORRALITO",0,0,
181,SISTEMA,2014,"BAJA CALIFORNIA SUR",COMONDU,"EL CORRALITO",0,0,
182,MOTOR,2014,"BAJA CALIFORNIA SUR",COMONDU,"EL DATIL",0,0,
183,EMBARCACION,2014,"BAJA CALIFORNIA SUR",COMONDU,"EL DATIL",1,0,
184,HIELERA,2014,"BAJA CALIFORNIA SUR",COMONDU,"EL DATIL",0,0,
185,SISTEMA,2014,"BAJA CALIFORNIA SUR",COMONDU,"EL DATIL",0,0,
186,MOTOR,2014,"BAJA CALIFORNIA SUR",COMONDU,"EL PORVENIR",1,0,
187,EMBARCACION,2014,"BAJA CALIFORNIA SUR",COMONDU,"EL PORVENIR",0,0,
188,HIELERA,2014,"BAJA CALIFORNIA SUR",COMONDU,"EL PORVENIR",0,0,
189,SISTEMA,2014,"BAJA CALIFORNIA SUR",COMONDU,"EL PORVENIR",0,0,
190,MOTOR,2014,"BAJA CALIFORNIA SUR",COMONDU,"EL VOLCAN",0,0,
191,EMBARCACION,2014,"BAJA CALIFORNIA SUR",COMONDU,"EL VOLCAN",0,0,
192,HIELERA,2014,"BAJA CALIFORNIA SUR",COMONDU,"EL VOLCAN",11,0,
193,SISTEMA,2014,"BAJA CALIFORNIA SUR",COMONDU,"EL VOLCAN",11,1,
194,MOTOR,2014,"BAJA CALIFORNIA SUR",COMONDU,"JOSEFA ORTIZ DE DOMINGUEZ",2,0,
195,EMBARCACION,2014,"BAJA CALIFORNIA SUR",COMONDU,"JOSEFA ORTIZ DE DOMINGUEZ",2,0,
196,HIELERA,2014,"BAJA CALIFORNIA SUR",COMONDU,"JOSEFA ORTIZ DE DOMINGUEZ",0,0,
197,SISTEMA,2014,"BAJA CALIFORNIA SUR",COMONDU,"JOSEFA ORTIZ DE DOMINGUEZ",0,0,
198,MOTOR,2014,"BAJA CALIFORNIA SUR",COMONDU,"LA BARRITA",0,0,
199,EMBARCACION,2014,"BAJA CALIFORNIA SUR",COMONDU,"LA BARRITA",0,0,
200,HIELERA,2014,"BAJA CALIFORNIA SUR",COMONDU,"LA BARRITA",2,0,
201,SISTEMA,2014,"BAJA CALIFORNIA SUR",COMONDU,"LA BARRITA",2,0,
202,MOTOR,2014,"BAJA CALIFORNIA SUR",COMONDU,"LA LAGUNA",1,0,
203,EMBARCACION,2014,"BAJA CALIFORNIA SUR",COMONDU,"LA LAGUNA",0,0,
204,HIELERA,2014,"BAJA CALIFORNIA SUR",COMONDU,"LA LAGUNA",0,0,
205,SISTEMA,2014,"BAJA CALIFORNIA SUR",COMONDU,"LA LAGUNA",0,0,
206,MOTOR,2014,"BAJA CALIFORNIA SUR",COMONDU,"LA POZA GRANDE",5,1,
207,EMBARCACION,2014,"BAJA CALIFORNIA SUR",COMONDU,"LA POZA GRANDE",0,0,
208,HIELERA,2014,"BAJA CALIFORNIA SUR",COMONDU,"LA POZA GRANDE",0,0,
209,SISTEMA,2014,"BAJA CALIFORNIA SUR",COMONDU,"LA POZA GRANDE",0,0,
210,MOTOR,2014,"BAJA CALIFORNIA SUR",COMONDU,"LA PURISIMA",1,0,
211,EMBARCACION,2014,"BAJA CALIFORNIA SUR",COMONDU,"LA PURISIMA",1,0,
212,HIELERA,2014,"BAJA CALIFORNIA SUR",COMONDU,"LA PURISIMA",0,0,
213,SISTEMA,2014,"BAJA CALIFORNIA SUR",COMONDU,"LA PURISIMA",0,0,
214,MOTOR,2014,"BAJA CALIFORNIA SUR",COMONDU,"LA VIRGENCITA",0,0,
215,EMBARCACION,2014,"BAJA CALIFORNIA SUR",COMONDU,"LA VIRGENCITA",0,0,
216,HIELERA,2014,"BAJA CALIFORNIA SUR",COMONDU,"LA VIRGENCITA",1,0,
217,SISTEMA,2014,"BAJA CALIFORNIA SUR",COMONDU,"LA VIRGENCITA",1,0,
218,MOTOR,2014,"BAJA CALIFORNIA SUR",COMONDU,"LAS BARRANCAS",16,4,
219,EMBARCACION,2014,"BAJA CALIFORNIA SUR",COMONDU,"LAS BARRANCAS",9,1,
220,HIELERA,2014,"BAJA CALIFORNIA SUR",COMONDU,"LAS BARRANCAS",0,0,
221,SISTEMA,2014,"BAJA CALIFORNIA SUR",COMONDU,"LAS BARRANCAS",0,0,
222,MOTOR,2014,"BAJA CALIFORNIA SUR",COMONDU,"MARIA AUXILIADORA",1,0,
223,EMBARCACION,2014,"BAJA CALIFORNIA SUR",COMONDU,"MARIA AUXILIADORA",0,0,
224,HIELERA,2014,"BAJA CALIFORNIA SUR",COMONDU,"MARIA AUXILIADORA",0,0,
225,SISTEMA,2014,"BAJA CALIFORNIA SUR",COMONDU,"MARIA AUXILIADORA",0,0,
226,MOTOR,2014,"BAJA CALIFORNIA SUR",COMONDU,"PUERTO ADOLFO LOPEZ MATEOS",26,6,
227,EMBARCACION,2014,"BAJA CALIFORNIA SUR",COMONDU,"PUERTO ADOLFO LOPEZ MATEOS",4,0,
228,HIELERA,2014,"BAJA CALIFORNIA SUR",COMONDU,"PUERTO ADOLFO LOPEZ MATEOS",1,0,
229,SISTEMA,2014,"BAJA CALIFORNIA SUR",COMONDU,"PUERTO ADOLFO LOPEZ MATEOS",1,0,
230,MOTOR,2014,"BAJA CALIFORNIA SUR",COMONDU,"PUERTO ALCATRAZ",1,1,
231,EMBARCACION,2014,"BAJA CALIFORNIA SUR",COMONDU,"PUERTO ALCATRAZ",0,0,
232,HIELERA,2014,"BAJA CALIFORNIA SUR",COMONDU,"PUERTO ALCATRAZ",0,0,
233,SISTEMA,2014,"BAJA CALIFORNIA SUR",COMONDU,"PUERTO ALCATRAZ",0,0,
234,MOTOR,2014,"BAJA CALIFORNIA SUR",COMONDU,"PUERTO CANCUN",1,0,
235,EMBARCACION,2014,"BAJA CALIFORNIA SUR",COMONDU,"PUERTO CANCUN",0,0,
236,HIELERA,2014,"BAJA CALIFORNIA SUR",COMONDU,"PUERTO CANCUN",0,0,
237,SISTEMA,2014,"BAJA CALIFORNIA SUR",COMONDU,"PUERTO CANCUN",0,0,
238,MOTOR,2014,"BAJA CALIFORNIA SUR",COMONDU,"PUERTO MAGDALENA",2,0,
239,EMBARCACION,2014,"BAJA CALIFORNIA SUR",COMONDU,"PUERTO MAGDALENA",0,0,
240,HIELERA,2014,"BAJA CALIFORNIA SUR",COMONDU,"PUERTO MAGDALENA",5,0,
241,SISTEMA,2014,"BAJA CALIFORNIA SUR",COMONDU,"PUERTO MAGDALENA",5,0,
242,MOTOR,2014,"BAJA CALIFORNIA SUR",COMONDU,"PUERTO SAN CARLOS",106,18,
243,EMBARCACION,2014,"BAJA CALIFORNIA SUR",COMONDU,"PUERTO SAN CARLOS",39,2,
244,HIELERA,2014,"BAJA CALIFORNIA SUR",COMONDU,"PUERTO SAN CARLOS",7,0,
245,SISTEMA,2014,"BAJA CALIFORNIA SUR",COMONDU,"PUERTO SAN CARLOS",7,1,
246,MOTOR,2014,"BAJA CALIFORNIA SUR",COMONDU,"PUNTA ARENAS",0,0,
247,EMBARCACION,2014,"BAJA CALIFORNIA SUR",COMONDU,"PUNTA ARENAS",0,0,
248,HIELERA,2014,"BAJA CALIFORNIA SUR",COMONDU,"PUNTA ARENAS",10,0,
249,SISTEMA,2014,"BAJA CALIFORNIA SUR",COMONDU,"PUNTA ARENAS",9,0,
250,MOTOR,2014,"BAJA CALIFORNIA SUR",COMONDU,"RANCHO LAS GLORIAS",0,0,
251,EMBARCACION,2014,"BAJA CALIFORNIA SUR",COMONDU,"RANCHO LAS GLORIAS",0,0,
252,HIELERA,2014,"BAJA CALIFORNIA SUR",COMONDU,"RANCHO LAS GLORIAS",1,0,
253,SISTEMA,2014,"BAJA CALIFORNIA SUR",COMONDU,"RANCHO LAS GLORIAS",1,0,
254,MOTOR,2014,"BAJA CALIFORNIA SUR",COMONDU,"SAN BUTO",2,1,
255,EMBARCACION,2014,"BAJA CALIFORNIA SUR",COMONDU,"SAN BUTO",0,0,
256,HIELERA,2014,"BAJA CALIFORNIA SUR",COMONDU,"SAN BUTO",0,0,
257,SISTEMA,2014,"BAJA CALIFORNIA SUR",COMONDU,"SAN BUTO",0,0,
258,MOTOR,2014,"BAJA CALIFORNIA SUR",COMONDU,"SAN JUANICO",10,0,
259,EMBARCACION,2014,"BAJA CALIFORNIA SUR",COMONDU,"SAN JUANICO",5,1,
260,HIELERA,2014,"BAJA CALIFORNIA SUR",COMONDU,"SAN JUANICO",0,0,
261,SISTEMA,2014,"BAJA CALIFORNIA SUR",COMONDU,"SAN JUANICO",0,0,
262,MOTOR,2014,"BAJA CALIFORNIA SUR",COMONDU,"SANTA MARIA",0,0,
263,EMBARCACION,2014,"BAJA CALIFORNIA SUR",COMONDU,"SANTA MARIA",0,0,
