30,BAJA CALIFORNIA,ENSENADA,,203015128,"U.P.P.E. EL PUERTO DE SANTO TOMAS, SPR DE RL",ERIZO MORADO,"1.-31° 35' 00"" 116° 43' 00"" 2.-31° 34' 30"" 116° 41' 00"" 3.-31° 31' 15"" 116° 40' 00"" 4.-31° 31' 15"" 116° 39' 30"" 5.-31° 32´ 45"" 116° 40' 00"" 6.-31° 28´30"" 116° 36' 15"" 7.-31° 28' 30"" 116° 40' 00""",2013-03-15,2017-03-14,31.8667427,-116.5963713
31,BAJA CALIFORNIA,ENSENADA,ENSENADA,203010715,"S.P.R. PUNTA CANOAS, S. DE R.L. DE C.V.",CARACOL PANOCHA,"29 23 00.44  115 00 08.27, 29 20 30.06  115 02 00.42, 29 23 06.52  115 17 22.27, 29 25 51.15  115 10 38.43",2012-02-28,2015-03-30,31.8667427,-116.5963713
32,BAJA CALIFORNIA,MEXICALI,SAN FELIPE,203013966,LUIS HIRAM VALDEZ VALENZUELA,ALMEJA CATARINA,"29 53 26.95  114 24 05, 29 57 46.01  114 22 38.87, 29 59 54.94  114 25 05.86, 29 59 53.43  114 33 55.60",2012-04-13,2016-04-12,31.0250709,-114.8407776
33,BAJA CALIFORNIA,ENSENADA,EL ROSARIO,203126802,"GRUPO JAUREGUI HERNANDEZ, S.P.R. DE R.L.",PEPINO DE MAR,"29° 57' 00""  115° 45' 25"", 29° 46' 50""  115° 47' 10"", 29° 47' 15""  115° 41' 30°""",2011-12-01,2015-11-30,30.059549,-115.725753
34,BAJA CALIFORNIA,ENSENADA,SAN  QUINTIN,203008578,OSTIONES GUERRERO S.A. DE C.V.,CANGREJO,"30° 27' 00""  116° 02' 00"", 30° 31' 30""  116° 02' 00"", 30° 27' 00""  116° 09' 00"", 30° 31' 30""  116° 09' 00""",2011-11-28,2015-10-13,30.56087669999999,-115.9379302
35,BAJA CALIFORNIA,ENSENADA,EJIDO RUBEN JARAMILLO,203011457,"SUR PACIFIC, S.P.R. DE R.L.",PEPINO DE MAR,"30° 54' 00""  116° 12' 45"", 30° 54' 00""  116° 21' 00"", 31° 00' 00""  116° 22' 30"", 31° 09' 30""  116° 20' 50"", 31° 09' 30""  116° 19' 00""",2011-12-13,2015-12-12,30.9223869,-116.1285573
36,BAJA CALIFORNIA,ENSENADA,SAN QUINTIN,202000444,"OSTRICOLA NAUTILUS, S. DE R.L. DE C.V.",ALGA ROJA,"31 20 00   116 27 30, 31 10 00   116 19 00, 30 32 00   116 02 30, 30 20 17    115 59 27",2012-06-21,2017-06-20,30.56087669999999,-115.9379302
37,BAJA CALIFORNIA,ENSENADA,ENSENADA,203002811,SALVADOR VALENCIA MEDINA,PEPINO DE MAR,"31° 26' 00""  116° 44' 00"", 31° 26'00""  116° 32' 00"", 31° 22' 00""  116° 29' 15"", 31° 22' 00"" 116° 42' 45""",2011-12-13,2015-12-12,31.8667427,-116.5963713
38,BAJA CALIFORNIA,ENSENADA,EL SAUZAL,203008198,"PESCADORES Y BUZOS RIBEREÑOS DE MANCHURIA, S.A. DE C.V.",LANGOSTA ROJA,"32 01 10   116 53 20 , 32 01 10  116 57 10, 31 58 45  116 51 30, 31 58 45  116 54 00",2011-08-19,2015-01-28,31.8525368,-116.6075333
39,BAJA CALIFORNIA,PLAYAS DE ROSARITO,ROSARITO,203008297,LUIS ALBERTO ROBLES GARCIA,ESTRELLA DE MAR,"32 15 00   116 57 15, 32 27 00   117 07 00",2012-07-30,2014-07-29,32.3661011,-117.0617553
40,BAJA CALIFORNIA,PLAYAS DE ROSARITO,ENSENADA,203007901,"U.P.P. PESCADORES RIBEREÑOS DE BAJA CALIFORNIA, S.P.R. DE R.L. ",ERIZO MORADO,"32 21 00  117 09 00, 32 21 00  117 15 00, 32 23 00   117 15 00, 32 23 00  117 13 30, 32 24 20  117 13 15",2012-07-17,2014-07-16,32.355755,-117.0586354
