Localidades Rurales Amanzanadas que rebasan su Ageb,,,,,,,
,,,,,,,
Clave Entidad,Clave Municipio,Clave Localidad,Clave Ageb,Nombre Geográfico,,,
13,083,0029,007-2,San Pedro Tlaquilpan,,,
13,083,0031,002-A,Venustiano Carranza,,,
13,083,0060,006-8,El Mirador,,,
13,083,0130,006-8,El Mirador Sexta Sección,,,
13,083,0135,007-2,Nueva Esperanza,,,
13,084,0002,002-7,Las Adjuntas,,,
13,084,0012,011-6,El Cerrote,,,
13,084,0026,003-1,Jagüey Colorado,,,
13,084,0039,008-4,Plutarco Elías Calles (Santiago),,,
13,084,0042,011-6,Puerto Juárez,,,
13,084,0132,006-5,Tlalpan,,,
14,001,0029,002-9,Laguna Colorada,,,
14,003,0021,001-9,La Peña,,,
14,006,0039,012-9,Los Pilares,,,
14,006,0051,009-7,San Nicolás,,,
14,006,0059,009-7,La Villita,,,
14,007,0008,001-8,La Estancia de Ayones,,,
14,008,0667,008-7,Presa de Barajas (El Crucero de Arandas),,,
14,009,0043,001-2,Santa Sofía,,,
14,010,0032,005-1,Las Varillas,,,
14,011,0022,002-5,San Pedro la Chale,,,
14,011,0029,002-5,Trigo de Alteñas,,,
14,011,0030,002-5,Yerbabuena,,,
14,012,0066,007-5,Santa Bárbara,,,
14,013,0054,003-4,El Nacimiento,,,
14,013,0106,003-4,El Sopial,,,
14,014,0020,002-7,Poncitlán,,,
14,014,0028,007-A,Tultitán,,,
14,016,0053,001-7,La Palma (La Angostura),,,
14,016,0083,006-A,San Lorenzo,,,
14,017,0103,004-8,Santa Rosalía,,,
14,018,0019,003-0,El Limón,,,
14,019,0052,004-2,Huizaista,,,
14,020,0074,004-3,Pedro Moreno,,,
14,022,0151,005-2,Brisas de la Navidad (El Gallo Colorado),,,
14,024,0015,002-3,La Puerta del Borrego,,,
14,024,0022,002-3,La Sauceda,,,
14,024,0058,002-3,El Conde,,,
14,025,0042,002-0,Mesa de Guadalupe,,,
14,027,0012,004-4,Ayotitlán,,,
14,027,0110,009-7,Telcrucito,,,
14,030,0004,001-6,Chapala Haciendas,,,
14,030,0055,003-5,Brisas de Chapala [Fraccionamiento],,,
14,031,0024,004-7,Cocuasco,,,
14,031,0069,006-6,Tepizuac,,,
14,033,0007,004-1,El Arca,,,
14,033,0008,002-2,Los Arrayanes,,,
14,033,0072,007-5,El Refugio de Vázquez,,,
14,038,0045,002-9,Llano Grande,,,
14,041,0005,002-4,Las Bocas,,,
14,041,0007,005-8,Ciénega Grande,,,
14,042,0037,006-A,Salitre de Abajo,,,
14,042,0043,008-9,San Nicolás de Acuña,,,
14,042,0173,006-A,Colonia las Granjas,,,
14,043,0030,009-0,La Conchita,,,
14,043,0081,008-6,Las Pilas,,,
14,043,0137,010-3,Pueblo Careyes,,,
14,045,0043,004-2,La Garruña,,,
14,045,0151,001-9,El Rodeo,,,
14,048,0048,004-4,Las Lagunas,,,
14,048,0076,001-0,El Ocote,,,
14,049,0195,013-0,Tazumbos,,,
14,050,0014,006-1,San Pedro Tesistán,,,
14,050,0019,002-3,Jaltepec,,,
14,051,0002,001-6,La Aurora,,,
14,052,0012,003-2,Los Corrales (Villa de Guadalupe),,,
14,053,0025,042-A,Bernalejo,,,
14,053,0135,014-8,La Merced (La Chona),,,
14,053,0275,023-7,Santa Inés,,,
14,053,0367,012-9,Rancho Nuevo,,,
14,053,0559,038-3,El Arenal,,,
14,053,0582,003-A,El Torreón,,,
14,053,0766,039-8,Villas Ecológicas los Nardos (Los Nardos),,,
14,055,0004,006-8,Lo de Guevara (La Loma),,,
14,056,0065,007-A,Abasolo (La Otra Casa),,,
14,057,0003,003-9,Las Cuevas,,,
14,058,0079,020-A,El Jacal,,,
14,058,0131,012-5,La Plata,,,
14,058,0133,018-2,Santa Rosa,,,
14,059,0012,003-3,La Cofradía,,,
14,059,0032,003-3,Los Guayabos,,,
14,059,0047,003-3,Puerta del Zapatero,,,
14,059,0116,001-4,Paso de los Arrieros,,,
14,061,0132,011-6,El Mortero,,,
14,061,0190,020-5,San Andrés Cohamiata,,,
14,061,0455,014-A,La Laguna,,,
14,061,0482,014-A,San José el Tesorero,,,
14,061,1103,021-A,Mayehekwa Pueblo Nuevo 2,,,
14,062,0010,003-9,Cuyutlán,,,
14,062,0012,002-4,La Laja,,,
14,066,0002,002-3,Agua Caliente,,,
14,066,0027,001-9,San Juan Tecomatlán,,,
14,066,0032,001-9,San Sebastián,,,
14,066,0037,002-3,La Zapotera,,,
14,066,0152,002-3,La Peña,,,
14,067,0044,008-8,El Ranchito (El Colesio),,,
14,067,0057,002-0,El Zancudo,,,
14,067,0109,140-4,Colonia Paso del Guayabo,,,
14,067,0178,140-4,Colonia los Robles,,,
14,067,0244,002-0,Colinas del Valle,,,
14,067,0247,002-0,Los Ángeles,,,
14,067,0257,002-0,Ojo de Agua,,,
14,068,0023,010-2,Carreón,,,
14,068,0040,010-2,La Eca,,,
14,068,0069,009-A,Mezcales,,,
14,068,0076,010-2,La Nancita,,,
14,069,0138,001-0,Rafael Picazo (Santa Cruz),,,
14,069,0156,001-0,Benito Juárez (San Onofre),,,
14,070,0116,146-7,Agua Blanca,,,
14,073,0006,012-1,Alcalá,,,
14,073,0229,001-3,El Torque (El Agostadero),,,
14,073,0314,011-7,La Loma,,,
14,077,0020,006-5,Santa Cruz de las Flores,,,
14,080,0014,005-6,El Carrizo,,,
14,080,0031,010-7,La Ermita,,,
14,083,0005,008-1,Cuxpala,,,
14,084,0066,021-4,La Cuesta,,,
14,084,0077,011-0,Desmoronado (El Real),,,
14,085,0038,003-3,Villa de Contla (Contla),,,
14,085,0089,014-1,Las Vallas,,,
14,087,0008,016-5,Ahuijullo,,,
14,087,0144,001-9,La Purísima,,,
14,088,0005,010-5,Ayotitlán,,,
14,088,0025,002-0,Quila,,,
14,090,0017,004-8,Miraplanes,,,
14,090,0055,012-2,El Riego,,,
14,091,0070,009-8,Mascua,,,
14,091,0105,013-4,El Pueblito,,,
14,093,0068,004-A,La Cebadilla,,,
14,093,0210,017-7,La Paleta,,,
14,093,0285,022-8,San Antonio de los Franco (San Antonio),,,
14,094,0140,009-A,San Pedro Analco,,,
14,094,0317,019-3,Potrero de la Mula (Luis Donaldo Colosio),,,
14,094,0767,022-5,La Explanada,,,
14,097,0028,059-A,El Refugio,,,
14,097,0045,241-6,El Cortijo,,,
14,097,0561,230-8,Jardines de Tlajomulco,,,
14,097,0848,060-2,Residencial San Pablo,,,
14,097,0852,230-8,Tierra de la Esperanza (Rinconada de los Nogales),,,
14,097,0874,230-8,La Nueva Esperanza II (Los Cantaros) [Fraccionamiento],,,
14,098,0131,024-3,El Mirador,,,
14,099,0074,002-4,Nuevo Zopoma (El Bolitar),,,
14,100,0020,014-A,Cacaluta,,,
14,100,0039,025-8,La Cumbre,,,
14,100,0100,010-1,Las Partidas,,,
14,100,0143,003-1,San Rafael de los Moreno,,,
14,101,0002,256-7,Agua Blanca,,,
14,102,0010,002-1,Coatlancillo,,,
14,102,0013,003-6,Los González,,,
14,104,0020,003-0,Cartagena,,,
14,105,0199,004-2,El Ranchito,,,
14,106,0007,003-5,El Camichín,,,
14,108,0031,012-9,Montelongo,,,
14,108,0295,005-9,Miseria y Ánimas,,,
14,110,0034,002-3,La Piñuela,,,
14,116,0028,005-0,Los Mimbres,,,
14,116,0109,005-0,Laguna de Mirasoles,,,
14,119,0006,002-9,El Briseño (Los Briseño),,,
14,119,0011,002-9,General Andrés Figueroa (Catarina Dos),,,
14,120,0213,003-4,San Lorenzo,,,
14,120,0356,012-3,Ejido Copalita,,,
14,120,0568,002-A,Milpillas Mesa de San Juan,,,
14,122,0039,002-4,Telcruz,,,
14,123,0003,002-1,Ahuatlán,,,
14,123,0024,001-7,Mesa de Amula,,,
14,124,0168,003-3,San José de las Flores (Gallinas de Arriba),,,
14,124,0360,007-1,Bugambilias [Fraccionamiento],,,
14,125,0028,011-5,El Salero,,,
15,001,0016,014-6,Detiña (San Antonio Detiña),,,
15,001,0020,018-4,El Ermitaño,,,
15,001,0021,019-9,Esdoca (Esdoca Centro),,,
15,001,0036,017-A,Los Pilares,,,
15,001,0043,020-1,San Juanico Sector Uno,,,
15,001,0044,020-1,San Juanico Sector Dos,,,
15,001,0045,021-6,San Nicolás Acambay,,,
15,001,0052,018-4,La Teresa (Santa Teresa),,,
15,001,0072,017-A,Mado Sector Dos,,,
15,001,0108,015-0,Dongu Barrio Uno,,,
15,001,0119,014-6,Hermosa Provincia,,,
15,003,0008,013-6,La Concepción Ejido,,,
15,003,0020,018-9,San Jerónimo Barrio,,,
15,003,0056,014-0,El Mogote,,,
15,003,0082,018-9,Ejido las Ánimas,,,
15,003,0083,014-0,La Presita Segundo Cuartel,,,
15,003,0092,016-A,Santa Ana Matlavat Primera Manzana,,,
15,003,0093,015-5,Santa Ana Matlavat Segunda Sección,,,
15,003,0094,015-5,Gunyo Centro,,,
15,004,0003,005-9,Agua Fría,,,
15,004,0006,006-3,Cuauhtenco,,,
15,004,0013,005-9,Plutarco González (Higueras),,,
15,004,0016,006-3,Sexta Manzana,,,
15,004,0017,006-3,Tepehuajes,,,
15,005,0007,025-3,Cieneguillas de Guadalupe,,,
15,005,0012,031-9,El Estanco,,,
15,005,0044,033-8,Santa María Nativitas,,,
15,005,0089,022-A,Río Frío (Río Frío Yebuciví),,,
15,005,0100,030-4,Barrio de la Cabecera Tercera Sección,,,
15,005,0138,028-7,Ejido de San Lorenzo Cuauhtenco,,,
15,005,0146,029-1,El Plan,,,
15,005,0152,025-3,Loma del Rancho,,,
15,006,0002,003-4,Colonia Loma Linda,,,
15,006,0004,003-4,Colonia la Puerta,,,
15,006,0005,003-4,Colonia la Florida (El Jagüey),,,
15,007,0009,005-0,El Potrero,,,
15,007,0010,005-0,Rincón de Guadalupe,,,
15,007,0014,007-A,San Lucas,,,
15,007,0018,005-0,San Sebastián el Grande,,,
15,007,0021,005-0,Polvillos (San Bartolo Quinta Sección),,,
15,007,0025,005-0,El Capulín Tercera Sección (Palo Mancornado),,,
15,007,0033,005-0,El Potrero Segunda Sección,,,
15,009,0007,007-4,Santa Isabel Chalma,,,
15,010,0027,004-1,Ejidos de Santa María,,,
15,010,0030,004-1,Colonia Ermita,,,
15,011,0022,019-5,Los Hornos (El Presidio),,,
15,014,0022,017-8,Maye el Fresno,,,
15,014,0027,017-8,Ejido la Palma (La Palma),,,
15,014,0038,024-8,San Francisco Chalchihuapan,,,
15,014,0042,016-3,San Jerónimo de los Jarros,,,
15,014,0046,015-9,San José Toxi,,,
15,014,0049,018-2,San Luis Boro,,,
15,014,0084,016-3,Bombatevi Ejido (Ejido Santa Cruz Bombatevi),,,
15,015,0002,009-0,Las Delicias,,,
15,015,0004,009-0,Popo Park,,,
15,016,0003,010-0,Guadalupe Relinas,,,
15,016,0015,011-5,San Pablo Xuchitl,,,
15,016,0020,010-0,Zacatepec,,,
15,016,0023,011-5,Tezoncalli,,,
15,016,0052,010-0,Barrio San Mateo,,,
15,018,0033,008-8,Residencial Rancho el Mesón,,,
15,018,0036,008-8,Fraccionamiento Valle del Nevado,,,
15,019,0036,005-1,Rancho del Carmen,,,
15,021,0010,007-9,Colonia el Potrero (El Potrero),,,
15,021,0018,006-4,Llano Grande,,,
15,021,0027,007-9,Segunda del Monte (La Presa),,,
15,023,0016,017-7,Lomas de Guadalupe,,,
15,024,0101,030-A,Fraccionamiento Parque San Mateo (Hacienda San Mateo),,,
15,024,0112,030-A,Barrio Tlatenco,,,
15,026,0002,011-1,La Alameda (Las Lajas),,,
15,026,0015,012-6,Macavaca (Santa Ana Macavaca),,,
15,026,0016,012-6,Mefi,,,
15,026,0026,011-1,Tenjay,,,
15,026,0038,012-6,La Soledad (El Mogote),,,
15,028,0019,008-4,Ejido de Chiautla (Colonia Guadalupe),,,
15,032,0011,005-3,San Francisco Mihualtepec,,,
15,032,0014,005-3,Ranchería de San Martín Obispo,,,
15,032,0034,005-3,San José Tilostoc,,,
15,035,0011,009-3,San Miguel Jagüeyes,,,
15,035,0011,009-3,San Miguel Jagüeyes,,,
15,035,0017,010-6,Jorobas,,,
15,035,0034,009-3,Fraccionamiento Privadas del Valle,,,
15,036,0011,009-0,Tianguistongo,,,
15,037,0003,016-8,Agua Blanca,,,
15,038,0006,004-2,Colonia Palma,,,
15,038,0015,004-2,Colonia Miraflores,,,
15,038,0020,005-7,Ejido los Jarros,,,
15,039,0017,071-1,Zoquiapan,,,
15,039,0050,072-6,Pueblo Nuevo (San Isidro Labrador),,,
15,039,0138,152-7,El Patronato del Maguey (Santa Rosa),,,
15,039,0147,071-1,Rancho Verde,,,
15,040,0004,006-A,Rancho San Diego,,,
15,040,0011,007-4,Puerta Grande,,,
15,040,0013,006-A,El Salitre,,,
15,040,0014,007-4,San Alejo,,,
15,040,0033,007-4,Colonia 3 de Mayo,,,
15,042,0006,015-3,La Guadalupana (El Sauco),,,
15,042,0010,013-4,Jalpa de los Baños,,,
15,042,0015,015-3,San Antonio de los Remedios,,,
15,042,0018,017-2,San Francisco de Guzmán,,,
15,042,0023,017-2,Barrio San Joaquín la Cabecera,,,
15,042,0026,016-8,San Mateo Ixtlahuaca,,,
15,042,0027,016-8,San Miguel Enyege,,,
15,042,0042,015-3,San José del Río,,,
15,042,0069,014-9,Colonia Cuauhtémoc,,,
15,042,0076,014-9,Ejido 20 de Noviembre,,,
15,042,0079,027-6,Colonia Luis Donaldo Colosio,,,
15,045,0002,014-0,San Juan Acazuchitlán (San Juanico),,,
15,045,0004,017-4,Aldama,,,
15,045,0008,018-9,La Comunidad,,,
15,045,0010,024-4,Danxhó,,,
15,045,0012,024-4,Dexcani Alto,,,
15,045,0016,018-9,Las Huertas,,,
15,045,0017,017-4,Llano Grande,,,
15,045,0018,019-3,Magueycitos,,,
15,045,0019,018-9,Las Manzanas,,,
15,045,0023,016-A,El Saltillo,,,
15,045,0025,018-9,San Lorenzo Octeyuco,,,
15,045,0027,015-5,San Miguel de la Victoria,,,
15,045,0032,020-6,Xhixhata,,,
15,045,0033,019-3,Xhimójay,,,
15,045,0059,020-6,El Huisache (Tercera Manzana de Dexcani Alto),,,
15,045,0066,020-6,La Manzanilla (Tercera Manzana de Dexcani Bajo),,,
15,045,0108,019-3,Ejido de San Lorenzo Octeyuco,,,
15,045,0111,013-6,El Fresno,,,
15,045,0148,020-6,Potrero Nuevo,,,
15,045,0153,017-4,Teupan (Piedras Negras),,,
15,045,0161,024-4,Ejido de Coscomate del Progreso,,,
15,046,0016,003-A,Barrio la Cuesta,,,
15,047,0002,010-7,Rancho Alegre,,,
15,047,0007,014-5,Loma de Endotzi (Manzana Sexta),,,
15,047,0010,010-7,Ejido Loma de Malacota (Loma de Malacota),,,
15,047,0013,013-0,Ejido de Mañi,,,
15,047,0018,010-7,San Antonio Nixini,,,
15,047,0019,011-1,San Bartolo Oxtotitlán,,,
15,047,0023,014-5,San Martín Morelos,,,
15,047,0024,012-6,San Miguel Yuxtepec,,,
15,047,0062,013-0,Manzana Segunda,,,
15,047,0075,014-5,Manzana Sexta Parte Alta,,,
15,048,0005,017-6,Mavoro,,,
15,048,0007,018-0,La Providencia,,,
15,048,0026,017-6,Barrio de Guadalupe,,,
15,048,0032,023-1,Barrio de San Joaquín,,,
15,048,0033,022-7,San José Boqui,,,
15,048,0038,023-1,Barrio la Tenería,,,
15,048,0087,022-7,El Huerto,,,
15,051,0003,015-2,Colonia Agrícola Analco,,,
15,051,0004,014-8,Barranca Grande,,,
15,051,0008,016-7,La Concepción Xochicuautla,,,
15,051,0013,014-8,Zacamulpa Huitzizilapan (San Isidro),,,
15,051,0014,016-7,Zacamulpa Tlalmimilolpan,,,
15,051,0032,015-2,Colonia Reforma Tlalmimilolpan,,,
15,051,0079,015-2,Ejido de San Mateo Atarasquillo,,,
15,052,0008,009-4,Chalma,,,
15,052,0014,010-7,Pachuquilla,,,
15,052,0021,011-1,San Andrés Nicolás Bravo,,,
15,054,0003,031-3,Colonia Agrícola Álvaro Obregón,,,
15,055,0007,003-9,El Calvario,,,
15,056,0008,013-A,San Sebastián Buenos Aires (San Sebastián),,,
15,056,0012,015-9,Tlalpujahuilla,,,
15,056,0021,010-6,La Cofradía,,,
15,056,0037,013-A,Ejido Santa Cruz,,,
15,057,0293,106-5,Colonia Luis Donaldo Colosio (Piedra de Alesna),,,
15,057,0297,106-5,Barrio la Viga (Cerro Loco),,,
15,060,0069,049-0,Loma Larga,,,
15,060,0084,048-6,Barrio de Guadalupe,,,
15,060,0088,049-0,Loma de San José,,,
15,061,0005,005-5,San Miguel Atepoxco,,,
15,062,0004,010-3,Colonia Juárez (Los Chirinos),,,
15,062,0011,010-3,San Antonio el Llanito,,,
15,062,0017,010-3,Río Hondito,,,
15,063,0004,010-0,Ajuchitlán,,,
15,063,0008,008-3,Colonia Doctor Gustavo Baz,,,
15,063,0010,009-8,Chalmita,,,
15,063,0016,009-8,Plaza Nueva,,,
15,063,0021,010-0,Santa Ana,,,
15,063,0024,008-3,Santa Martha,,,
15,063,0033,008-3,Tepetzingo (Tepezingo),,,
15,063,0042,009-8,Los Manantiales (El Río Chiquito),,,
15,063,0048,009-8,Cinco Caminos,,,
15,064,0009,006-1,La Concepción (La Concepción Segunda),,,
15,064,0020,007-6,Presa Brockman,,,
15,064,0024,005-7,San Nicolás Tultenango,,,
15,064,0027,005-7,Santiago Oxtempan,,,
15,064,0029,007-6,Santa Cruz el Tejocote (El Tejocote),,,
15,064,0031,006-1,Venta del Aire,,,
15,064,0057,007-6,Laguna Seca,,,
15,064,0059,007-6,Lázaro Cárdenas,,,
15,067,0002,013-3,La Concepción de Hidalgo,,,
15,067,0009,011-4,San Agustín Mimbres,,,
15,067,0017,016-7,Villa Seca (La Providencia Villa Seca),,,
15,067,0017,016-7,Villa Seca (La Providencia Villa Seca),,,
15,067,0022,013-3,Ejido de Mozoquilpan,,,
15,067,0032,015-2,La Paja,,,
15,067,0046,011-4,Zona Número Uno San Mateo Capulhuac,,,
15,068,0006,005-6,San Lorenzo Tlaltecoyan (Tlaltecoyac),,,
15,068,0008,005-6,Santiago Mamalhuazuca,,,
15,069,0006,003-4,Mazatla (Barrio de Mazatla),,,
15,071,0006,006-6,Encinillas,,,
15,071,0015,005-1,San Antonio Polotitlán,,,
15,071,0026,005-1,El Gavillero de la Trinidad (La Curva),,,
15,072,0016,003-A,Colonia Emiliano Zapata,,,
15,074,0018,016-1,La Concepción Chico (El Centro),,,
15,074,0022,018-0,Chichilpa,,,
15,074,0051,019-5,Purísima Concepción Mayorazgo (Mayorazgo),,,
15,074,0076,023-1,San Antonio Mextepec,,,
15,074,0108,024-6,Santa Ana Nichi,,,
15,074,0112,016-1,Santa Rita de la Cuesta,,,
15,074,0115,022-7,Ranchería la Soledad,,,
15,074,0123,024-6,Tres Estrellas,,,
15,074,0130,022-7,Ejido la Virgen,,,
15,074,0159,024-6,"Barrio las Palomas, Santa Ana Nichi",,,
15,075,0007,011-6,San Antonio de las Palmas,,,
15,075,0008,012-0,San Pablo Ixquitlán,,,
15,075,0010,012-0,Santiago Tepetitlán,,,
15,075,0013,011-6,Santa María Tezompa,,,
15,078,0042,006-7,Frontón Vivero,,,
15,079,0002,005-A,El Divisadero de Zapata,,,
15,079,0020,004-5,Santa Cruz (Ejido de Palos Altos),,,
15,080,0014,014-A,Laguna Seca,,,
15,080,0030,015-4,San Miguel Totolmaloya,,,
15,080,0047,009-9,El Potrero (Potrero de Guadalupe),,,
15,080,0083,012-0,Manzanillos,,,
15,081,0007,049-0,San Juan Pueblo Nuevo,,,
15,082,0055,024-8,Cuadrilla de López,,,
15,082,0141,032-2,Rincón del Guayabal,,,
15,082,0152,033-7,Salitre de Acamuchitlán (El Salitre),,,
15,082,0171,025-2,Tenería (Pueblo Nuevo),,,
15,082,0176,024-8,Santo Domingo-Zacatepec,,,
15,082,0547,032-2,Colonia Benito Juárez (Lázaro Cárdenas del Río),,,
15,082,0564,024-8,Colonia Buenavista Primera Sección,,,
15,084,0015,008-3,San Mateo Teopancala,,,
15,085,0006,010-8,Calderas,,,
15,085,0026,010-8,San José Solís,,,
15,085,0028,015-0,San Mateo el Viejo,,,
15,085,0037,010-8,Santa Rosa Solís,,,
15,085,0053,010-8,Ahuacatitlán Cuarto y Quinto Cuartel,,,
15,085,0075,012-7,Mesa de los Garnica,,,
15,086,0003,012-4,San Sebastián Carboneras (Carboneras),,,
15,086,0008,009-2,La Comunidad,,,
15,087,0008,012-1,Ejido de Dolores,,,
15,087,0023,015-5,San José Buenavista el Grande,,,
15,087,0039,010-2,Ranchería las Lomas,,,
15,087,0040,015-5,Llano de la Y,,,
15,087,0056,011-7,Tierra Blanca,,,
15,088,0019,014-8,San José Tenería (Tenería),,,
15,088,0043,014-8,Colonia Emiliano Zapata Ejido de Tenancingo,,,
15,088,0058,009-7,Colonia Morelos,,,
15,090,0025,010-8,Santa Cruz Pueblo Nuevo,,,
15,090,0047,010-8,La Azteca,,,
15,090,0065,010-8,Las Minas,,,
15,091,0012,010-5,San Sebastián,,,
15,091,0021,028-5,Colonia Santo Tomás,,,
15,092,0042,006-6,El Potrero (Ejido Purificación),,,
15,092,0107,007-0,Ampliación San Francisco,,,
15,095,0032,034-A,La Concepción,,,
15,095,0043,012-3,Granjas Hogar y Petrohuertos Delegación,,,
15,097,0003,009-6,Arroyo Seco,,,
15,097,0017,008-1,Santa María,,,
15,097,0052,008-1,El Agostadero,,,
15,099,0015,038-7,Pentecostés,,,
15,099,0026,038-7,San José Texopa,,,
15,099,0027,039-1,San Juan Tezontla,,,
15,099,0031,041-9,San Nicolás Tlaminca,,,
15,099,0111,110-1,Santa Rosa (Rancho Santa Rosa),,,
15,099,0114,110-1,Colonia Villas de Tolimpa,,,
15,099,0144,042-3,Los Sauces,,,
15,099,0150,042-3,Pozo Guadalupe,,,
15,099,0161,045-7,Puente Quebrado (Pozo San Isidro),,,
15,101,0013,011-8,San Lorenzo Huehuetitlán,,,
15,101,0046,010-3,San José Mezapa Sección I,,,
15,101,0048,010-3,Colonia las Granjas,,,
15,101,0052,011-8,Colonia Campesina,,,
15,101,0054,009-0,Colonia San Isidro,,,
15,102,0016,007-9,Barrio Quinto de Maxdá (Enzdá),,,
15,103,0002,011-2,San Antonio Tlaltecahuacán,,,
15,103,0004,011-2,San Lorenzo Tlalmimilolpan,,,
15,105,0047,016-A,Palmar Grande,,,
15,105,0074,021-0,San Antonio del Rosario,,,
15,105,0121,021-0,Limón Terrero,,,
15,106,0069,131-A,San Diego Linares,,,
15,106,0106,133-9,La Palma Toltepec,,,
15,106,0107,130-5,San Carlos Autopan,,,
15,106,0129,130-5,Ojo de Agua,,,
15,106,0133,126-9,San Carlos,,,
15,106,0139,127-3,Ejido de Almoloya de Juárez,,,
15,106,0140,127-3,San Isidro Ejido de Calixtlahuaca,,,
15,106,0143,128-8,Barrio Bordo Nuevo,,,
15,106,0145,128-8,Xicaltepec,,,
15,106,0148,130-5,De Jesús 1ra. Sección,,,
15,106,0177,133-9,La Planada (El Arenal),,,
15,106,0185,126-9,San José la Costa,,,
15,106,0193,144-7,San Judas Tadeo,,,
15,106,0204,144-7,Colonia las Palmas,,,
15,109,0076,138-3,Ejido la Reyna (La Reyna),,,
15,110,0031,014-0,Santa María Pipioltepec (Pipioltepec),,,
15,110,0037,014-0,San Gabriel Ixtla,,,
15,110,0040,013-6,San Nicolás Tolentino,,,
15,110,0048,016-A,La Volanta,,,
15,110,0083,017-4,Atesquelites (Tres Quelites),,,
15,110,0092,017-4,Tehuastepec (San José Tehuastepec),,,
15,110,0112,016-A,Monte Alto,,,
15,111,0002,008-2,El Aventurero,,,
15,111,0013,007-8,El Jacal,,,
15,111,0016,009-7,Mesas de San Martín,,,
15,111,0024,009-7,Sabana de Taborda 1ra. Sección,,,
15,111,0027,007-8,San Francisco de Asís,,,
15,111,0033,006-3,Barrio de San Miguel,,,
15,111,0038,007-8,Barrio de Santiago,,,
15,111,0088,007-8,Barrio los Tules,,,
15,111,0092,009-7,San Agustín Berros el Salto,,,
15,111,0093,007-8,Barrio los Cedros,,,
15,112,0020,011-1,Pueblo Nuevo,,,
15,112,0026,007-5,Santa Catarina,,,
15,113,0007,008-7,El Islote,,,
15,114,0003,017-3,Casas Coloradas,,,
15,114,0012,021-A,Laguna Seca Propiedad,,,
15,114,0024,021-A,San Agustín Canohillas Segunda Sección,,,
15,114,0027,014-A,San Felipe de la Rosa,,,
15,114,0032,019-2,San Pedro del Rincón,,,
15,114,0033,021-A,Sansón,,,
15,114,0038,022-4,Turcio Primera Sección,,,
15,114,0042,019-2,El Fresno San Agustín,,,
15,114,0044,019-2,San Agustín Canohillas Primera Sección,,,
15,114,0067,014-A,Agua Zarca,,,
15,114,0085,016-9,Barrio de Centro del Cerrillo,,,
15,114,0089,017-3,El Capulín,,,
15,114,0098,021-A,San Agustín Altamirano Primera Sección,,,
15,114,0104,017-3,Barrio el Vivero,,,
15,114,0105,020-5,Los Matorrales,,,
15,114,0108,016-9,Barrio el Cerrillo,,,
15,114,0126,015-4,Ramejé,,,
15,114,0144,016-9,Barrio el Ocote,,,
15,115,0029,006-2,Lomas de Zolotepec (La Loma),,,
15,118,0013,019-1,Contadero de Matamoros (San José),,,
15,118,0081,053-9,Recibitas (El Remolino),,,
15,118,0138,053-9,Bosques del Nevado [Fraccionamiento],,,
15,119,0002,005-7,Guadalupe Ahuacatlán,,,
15,120,0006,048-6,Buenavista,,,
15,120,0076,016-6,Hacienda los Encinos,,,
15,120,0085,048-6,La Noria [Conjunto Urbano],,,
15,121,0007,112-3,Axotlán,,,
15,121,0111,114-2,San Pablo de los Gallos,,,
15,121,0119,114-2,Brisas del Lago,,,
15,123,0177,009-8,El Reparo de Nanchititla (El Reparo),,,
15,124,0041,007-6,Ejido la Soledad,,,
15,124,0056,005-7,Guarda la Lagunita el Potrero,,,
15,124,0076,007-6,Ejido los Pintados,,,
15,124,0093,005-7,El Salto la Venta (Barrio el Salto),,,
15,124,0120,004-2,La Trinidad Concepción,,,
15,124,0125,007-6,Ranchería de los Dolores,,,
15,124,0141,005-7,Barrio las Escobas del Agua San Jerónimo Dolores,,,
15,124,0142,005-7,Barrio las Rosas San Miguel del Centro,,,
15,124,0149,005-7,San Miguel Agua Bendita Uno,,,
16,001,0007,003-2,La Campana,,,
16,001,0020,001-3,San Andrés Coapa,,,
16,002,0070,002-5,El Charapo (Palo Alto),,,
16,003,0009,002-2,Estación de Quirio,,,
16,003,0011,002-2,Lázaro Cárdenas (La Purísima),,,
16,003,0016,001-8,La Presa,,,
16,003,0026,001-8,Tzintzimeo,,,
16,003,0028,001-8,Félix Ireta,,,
16,003,0036,002-2,Chehuayo Chico (Chehuayito),,,
16,004,0007,004-9,La Estancia del Río,,,
16,004,0013,002-A,Héroes de la Revolución,,,
16,004,0027,002-A,San José del Maluco,,,
16,005,0010,001-2,La Salud,,,
16,006,0006,007-7,El Alcalde,,,
16,006,0027,015-1,La Cofradía,,,
16,006,0035,009-6,San José de Chila,,,
16,006,0052,011-3,Holanda,,,
16,006,0055,007-7,Loma de los Hoyos,,,
16,006,0116,004-3,El Recreo,,,
16,006,0123,015-1,Los Sandoval,,,
16,006,0125,003-9,San Juan de los Plátanos,,,
16,006,0181,005-8,Palo Alto,,,
16,006,0256,004-3,San Fernando,,,
16,006,0304,001-A,Ejido José María Morelos,,,
16,006,0316,005-8,Rancho Nuevo,,,
16,006,0461,055-6,José Tafolla Caballero (Las Delicias) [Fraccionamiento],,,
16,008,0012,018-A,Barranca de López,,,
16,008,0043,003-3,La Cofradía de Ostula,,,
16,008,0052,004-8,Cruz de Campos,,,
16,008,0141,012-2,Pomaro,,,
16,008,0146,001-4,Pueblo Nuevo,,,
