Localidades Rurales Amanzanadas que rebasan su Ageb,,,,,,,
,,,,,,,
Clave Entidad,Clave Municipio,Clave Localidad,Clave Ageb,Nombre Geográfico,,,
07,011,0003,002-5,Chemic,,,
07,011,0017,002-5,San Juan Progreso,,,
07,012,0306,005-6,La Libertad,,,
07,012,0761,006-0,Independencia,,,
07,013,0123,002-A,Shashalpa,,,
07,015,0052,002-4,Unión Roja,,,
07,016,0121,006-A,Cuauhtémoc,,,
07,016,0299,011-0,Cuauhtemoc Quemado,,,
07,016,0300,011-0,Estación la Unión,,,
07,017,0333,021-1,Monte de los Olivos (La Mona),,,
07,017,0352,028-3,Niños Héroes,,,
07,019,0026,017-A,Corrala,,,
07,019,0026,017-A,Corrala,,,
07,019,0088,017-A,El Prado,,,
07,021,0038,002-1,Lázaro Cárdenas,,,
07,022,0005,001-4,Joltealal,,,
07,023,0020,003-0,Chicumtantic,,,
07,023,0024,002-6,Epalchén,,,
07,023,0026,002-6,Ichintón,,,
07,023,0041,003-0,Las Ollas,,,
07,023,0065,002-6,La Ventana,,,
07,023,0089,001-1,Bautista Grande,,,
07,023,0107,003-0,Va'Alch'En,,,
07,023,0115,003-0,Ch'Ultic,,,
07,025,0026,002-0,San Miguel Buenavista,,,
07,027,0017,007-8,Felipe Carrillo Puerto,,,
07,027,0023,007-8,Ribera Cupía (La Mesa),,,
07,027,0026,008-2,Distrito Federal,,,
07,027,0028,007-8,Emiliano Zapata Uno,,,
07,027,0103,005-9,Santo Domingo,,,
07,030,0177,010-5,Nueva Piedra Labrada,,,
07,030,0339,007-3,Nuevo Portal,,,
07,031,0097,012-1,Jol Cacualá,,,
07,031,0139,015-5,Guadalupe Paxilá,,,
07,031,0272,003-2,El Piñal,,,
07,031,0360,006-6,Nazareth,,,
07,031,0439,010-2,Tzajalá,,,
07,031,0459,002-8,La Pimienta,,,
07,031,0861,004-7,Patelna 2da. Sección,,,
07,032,0132,003-A,Brisas del Soconusco,,,
07,032,0149,005-9,Zacualpa Dos,,,
07,032,0262,005-9,Ocho de Agosto,,,
07,032,0264,005-9,Ricardo Flores Magón,,,
07,032,0316,005-9,Guadalupe,,,
07,034,0006,005-3,Benito Juárez,,,
07,034,0028,007-2,El Jocote,,,
07,034,0080,006-8,Tres Pinos,,,
07,034,0125,008-7,Agua Zarca,,,
07,034,0219,006-8,Santa Apolonia,,,
07,034,0421,008-7,Nuevo Mexicalapa,,,
07,035,0089,001-2,Texcaltic,,,
07,035,0089,001-2,Texcaltic,,,
07,035,0099,001-2,Ignacio Zaragoza,,,
07,037,0018,003-6,El Cairo,,,
07,037,0137,003-6,Tepehuitz,,,
07,037,0151,010-6,Santa Elena,,,
07,038,0003,004-8,Carmen Yalchuch,,,
07,038,0011,001-4,Jocosic,,,
07,038,0013,001-4,Lázaro Cárdenas (Chilil),,,
07,038,0054,003-3,Yalcuc,,,
07,038,0114,001-4,San José el Porvenir,,,
07,039,0195,004-5,Dieciocho de Abril,,,
07,040,0026,007-A,Cantón las Delicias,,,
07,040,0380,007-A,La Ceiba,,,
07,044,0007,003-0,Carlos A. Vidal,,,
07,045,0045,001-9,Jana 2da. Sección,,,
07,046,0040,013-9,Nueva Independencia,,,
07,046,0361,004-A,Llano Grande,,,
07,046,0362,004-A,Absalón Castellanos Domínguez,,,
07,048,0034,008-2,El Triunfo 2da. Sección,,,
07,049,0025,001-8,Mehono,,,
07,049,0081,001-8,Chuchiltón Anexo Potobtic Dos,,,
07,051,0205,013-9,Abraham González,,,
07,051,0882,014-3,Francisco I. Madero,,,
07,052,0028,027-8,Chiapas,,,
07,052,0033,025-9,La Esperanza,,,
07,052,0039,025-9,Gabino Vázquez San Sebastián,,,
07,052,0090,007-0,Piedra Huixtla,,,
07,052,0165,014-0,Plan de Santo Tomás,,,
07,052,0169,010-2,Santa Rita Sonora,,,
07,052,0206,038-6,La Fortuna Gallo Giro,,,
07,052,0239,017-4,Plan de Agua Prieta,,,
07,052,0286,034-8,Francisco Villa,,,
07,052,0369,025-9,La Nueva Esperanza,,,
07,052,0454,030-A,Rizo de Oro,,,
07,052,0605,019-3,Victoria la Paz,,,
07,052,0654,033-3,Nuevo Plan de Ayala,,,
07,052,0881,005-1,Santuario Anexo Justo Sierra,,,
07,052,0888,027-8,San José la Esperanza,,,
07,054,0005,003-7,San José el Hueyate (Barra de San José),,,
